s_id,semester,leave_school_name,leave_dept_name,degree_now,第一題,第二題,第三題,第四題,第五題,第六題,第七題,第八題,第九題,第十題,第10題,第十一題,第11題,第十二題
13e81d9d48008975d78237471973771d,103,資訊電機學院,資訊工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊部門*:*,否*:*,製造業 (C)*:*,NULL,境內_彰化縣*:*,尋找工作中_到現在還在尋找工作的最大可能原因為何_沒有工作機會*:*,NULL,專業知識、知能傳授*:*,外語能力*:*溝通表達能力*:*,NULL,團隊合作能力*:*溝通表達能力*:*工作紀律、責任感及時間管理能力*:*,NULL,法律學門*:*商業及管理學門*:*
13e8fc906596eb4ae2c6d3acd0c6ab99,100,管理學院,企業管理學系博士班,博士班,全職工作_學校（包括公立及私立大學、高中、高職、國中小…等）*:*,教育訓練部門*:*,否*:*,教育業 (P)*:*,"約新臺幣70,001元至75,000元*:*",境內_台中市*:*,NULL,NULL,建立同學及老師人脈*:*其他訓練*:*專業知識、知能傳授*:*,NULL,跨領域整合能力*:*人際互動能力*:*外語能力*:*,持續學習能力*:*溝通表達能力*:*問題解決能力*:*,非常符合*:*,社會及行為科學門*:*
13e99f329a24a9ec8faf5af9dfcb66ac,101,資訊電機學院,電機工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,工程部門*:*,否*:*,製造業 (C)*:*,"約新臺幣43,001元至46,000元*:*",境內_新竹市*:*,NULL,NULL,語言學習*:*專業知識、知能傳授*:*,NULL,外語能力*:*人際互動能力*:*溝通表達能力*:*,人際互動能力*:*外語能力*:*溝通表達能力*:*,符合*:*,工程學門*:*
13f2c960be49977adfd76a7abfaa3ab8,103,管理學院,企業管理學系碩士在職專班,碩士在職專班,全職工作_企業（包括民營企業或國營企業…等）*:*,業務部門*:*,否*:*,出版、影音製作傳播及資通訊服務業 (J)*:*,NULL,境內_南投縣*:*,準備考試_公務人員*:*,NULL,校內實務課程*:*,溝通表達能力*:*持續學習能力*:*問題解決能力*:*,NULL,跨領域整合能力*:*問題解決能力*:*持續學習能力*:*,NULL,自然科學門*:*社會及行為科學門*:*藝術學門*:*
13f5edd5bb985395ff77b46829c7e46c,103,理學院,化學學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,工程部門*:*,否*:*,製造業 (C)*:*,NULL,境內_嘉義縣*:*,準備考試_出國留學*:*,NULL,校外業界實習*:*,創新能力*:*外語能力*:*,NULL,團隊合作能力*:*外語能力*:*資訊科技應用能力*:*,NULL,自然科學門*:*設計學門*:*社會及行為科學門*:*
13f6f4a41762146c6bcc6f46ae7bdec2,101,資訊電機學院,資訊工程學系碩士在職專班,碩士在職專班,全職工作_學校（包括公立及私立大學、高中、高職、國中小…等）*:*,研發 /開發部門*:*,否*:*,教育業 (P)*:*,"約新臺幣37,001元至40,000元*:*",境內_桃園市*:*,NULL,NULL,建立同學及老師人脈*:*校內實務課程*:*專業知識、知能傳授*:*,NULL,問題解決能力*:*溝通表達能力*:*團隊合作能力*:*,問題解決能力*:*團隊合作能力*:*溝通表達能力*:*,非常符合*:*,沒有進修需求*:*
13f8e202bccf2c7e5801fc7bc5909f03,103,工學院,化學工程與材料工程學系博士班,博士班,全職工作_企業（包括民營企業或國營企業…等）*:*,研發 /開發部門*:*,否*:*,製造業 (C)*:*,NULL,境內_高雄市*:*,準備考試_證照*:*,NULL,專業知識、知能傳授*:*,外語能力*:*溝通表達能力*:*持續學習能力*:*,NULL,問題解決能力*:*跨領域整合能力*:*外語能力*:*,NULL,社會及行為科學門*:*傳播學門*:*藝術學門*:*
1443a65929baa097920b8342ffcaf313,100,文學院,藝術學研究所碩士班,碩士班,部分工時_家管/料理家務者(請跳答第13題)*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,人際互動能力*:*外語能力*:*,跨領域整合能力*:*外語能力*:*,NULL,藝術學門*:*
144f77ed6665e42eea05d8d790309209,101,工學院,營建管理研究所碩士在職專班,碩士在職專班,全職工作_企業（包括民營企業或國營企業…等）*:*,採購部門*:*,否*:*,專業 、科學及技術服務(M)*:*,"約新臺幣65,001元至70,000元*:*",境內_台北市*:*,NULL,NULL,專業知識、知能傳授*:*,NULL,外語能力*:*,人際互動能力*:*,非常符合*:*,法律學門*:*
1454c7c726cbfad75158e70ed8e10885,103,地球科學學院,太空科學研究所碩士班,碩士班,目前非就業中（請跳答第7題後，再跳答第10、11、12題）*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,外語能力*:*創新能力*:*跨領域整合能力*:*,NULL,社會及行為科學門*:*法律學門*:*藝術學門*:*
1462afb5777272b1335505fd0e91e5be,100,地球科學學院,地球科學學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,其他部門*:*,否*:*,專業 、科學及技術服務(M)*:*,"約新臺幣46,001元至49,000元*:*",境內_台北市*:*,NULL,NULL,擔任研究或教學助理*:*校內實務課程*:*,NULL,溝通表達能力*:*問題解決能力*:*外語能力*:*,溝通表達能力*:*問題解決能力*:*持續學習能力*:*,符合*:*,人文學門*:*
1466cf9b99cd331ead495c68e2ae20e7,100,工學院,機械工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,研發 /開發部門*:*,否*:*,製造業 (C)*:*,"約新臺幣40,001元至43,000元*:*",境內_新北市*:*,NULL,NULL,專業知識、知能傳授*:*校內實務課程*:*校外業界實習*:*,NULL,人際互動能力*:*溝通表達能力*:*團隊合作能力*:*,資訊科技應用能力*:*跨領域整合能力*:*問題解決能力*:*,符合*:*,數學及統計門*:*
